Target Number,Expression Found
1,1*1/4*5-1/4
2,1+1/4*5-1/4
3,1+1*4-5-1+4
5,1+1+4-5+1*4
7,1+1+4+5-1*4
11,-1+1*4+5-1+4
13,1+1*4+5-1+4
17,1+1+4*5-1-4
19,1+1+4*5+1-4
23,1-1+4*5-1+4
29,見つかりませんでした
31,見つかりませんでした
37,見つかりませんでした
41,見つかりませんでした
43,見つかりませんでした
47,見つかりませんでした
53,見つかりませんでした
59,見つかりませんでした
61,見つかりませんでした
67,見つかりませんでした
71,見つかりませんでした
73,見つかりませんでした
79,-1+1*4*5*1*4
83,見つかりませんでした
89,見つかりませんでした
97,見つかりませんでした
101,見つかりませんでした
103,見つかりませんでした
107,見つかりませんでした
109,見つかりませんでした
113,見つかりませんでした
127,見つかりませんでした
131,見つかりませんでした
137,見つかりませんでした
139,見つかりませんでした
149,見つかりませんでした
151,見つかりませんでした
157,見つかりませんでした
163,見つかりませんでした
167,見つかりませんでした
173,見つかりませんでした
179,見つかりませんでした
181,見つかりませんでした
191,見つかりませんでした
193,見つかりませんでした
197,見つかりませんでした
199,見つかりませんでした
211,見つかりませんでした
223,見つかりませんでした
227,見つかりませんでした
229,見つかりませんでした
233,見つかりませんでした
239,見つかりませんでした
241,見つかりませんでした
251,見つかりませんでした
257,見つかりませんでした
263,見つかりませんでした
269,見つかりませんでした
271,見つかりませんでした
277,見つかりませんでした
281,見つかりませんでした
283,見つかりませんでした
293,見つかりませんでした
307,見つかりませんでした
311,見つかりませんでした
313,見つかりませんでした
317,見つかりませんでした
331,見つかりませんでした
337,見つかりませんでした
347,見つかりませんでした
349,見つかりませんでした
353,見つかりませんでした
359,見つかりませんでした
367,見つかりませんでした
373,見つかりませんでした
379,見つかりませんでした
383,見つかりませんでした
389,見つかりませんでした
397,見つかりませんでした
401,見つかりませんでした
409,見つかりませんでした
419,見つかりませんでした
421,見つかりませんでした
431,見つかりませんでした
433,見つかりませんでした
439,見つかりませんでした
443,見つかりませんでした
449,見つかりませんでした
457,見つかりませんでした
461,見つかりませんでした
463,見つかりませんでした
467,見つかりませんでした
479,見つかりませんでした
487,見つかりませんでした
491,見つかりませんでした
499,見つかりませんでした
503,見つかりませんでした
509,見つかりませんでした
521,見つかりませんでした
523,見つかりませんでした
541,見つかりませんでした
547,見つかりませんでした
557,見つかりませんでした
563,見つかりませんでした
569,見つかりませんでした
571,見つかりませんでした
577,見つかりませんでした
587,見つかりませんでした
593,見つかりませんでした
599,見つかりませんでした
601,見つかりませんでした
607,見つかりませんでした
613,見つかりませんでした
617,見つかりませんでした
619,見つかりませんでした
631,見つかりませんでした
641,見つかりませんでした
643,見つかりませんでした
647,見つかりませんでした
653,見つかりませんでした
659,見つかりませんでした
661,見つかりませんでした
673,見つかりませんでした
677,見つかりませんでした
683,見つかりませんでした
691,見つかりませんでした
701,見つかりませんでした
709,見つかりませんでした
719,見つかりませんでした
727,見つかりませんでした
733,見つかりませんでした
739,見つかりませんでした
743,見つかりませんでした
751,見つかりませんでした
757,見つかりませんでした
761,見つかりませんでした
769,見つかりませんでした
773,見つかりませんでした
787,見つかりませんでした
797,見つかりませんでした
809,見つかりませんでした
811,見つかりませんでした
821,見つかりませんでした
823,見つかりませんでした
827,見つかりませんでした
829,見つかりませんでした
839,見つかりませんでした
853,見つかりませんでした
857,見つかりませんでした
859,見つかりませんでした
863,見つかりませんでした
877,見つかりませんでした
881,見つかりませんでした
883,見つかりませんでした
887,見つかりませんでした
907,見つかりませんでした
911,見つかりませんでした
919,見つかりませんでした
929,見つかりませんでした
937,見つかりませんでした
941,見つかりませんでした
947,見つかりませんでした
953,見つかりませんでした
967,見つかりませんでした
971,見つかりませんでした
977,見つかりませんでした
983,見つかりませんでした
991,見つかりませんでした
997,見つかりませんでした
1009,見つかりませんでした
1013,見つかりませんでした
1019,見つかりませんでした
1021,見つかりませんでした
1031,見つかりませんでした
1033,見つかりませんでした
1039,見つかりませんでした
1049,見つかりませんでした
1051,見つかりませんでした
